分类,歌曲,难度,分支,体力,手速,爆发,节奏,复合,主定数
09 Namco Original,Vixtory,魔王(里),,14.89 ,14.44 ,15.28 ,10.71 ,14.97 ,14.81 
09 Namco Original,The Future of the 太鼓ドラム,魔王(里),,15.20 ,14.70 ,14.73 ,10.85 ,13.90 ,14.74 
03 Vocaloid,モノクロボイス,魔王(里),,15.26 ,15.13 ,15.23 ,9.86 ,13.30 ,14.65 
09 Namco Original,siren's eye,魔王,,13.84 ,14.29 ,14.79 ,14.65 ,14.05 ,14.64 
07 Game Music,Genesis Ray,魔王(里),,14.18 ,13.93 ,13.33 ,14.07 ,14.94 ,14.40 
09 Namco Original,彁,魔王(里),,13.92 ,14.02 ,14.66 ,13.79 ,13.81 ,14.36 
09 Namco Original,疾風怒濤,魔王(里),,15.00 ,14.14 ,12.87 ,13.48 ,14.44 ,14.36 
03 Vocaloid,4+1のそれぞれの未来,魔王(里),达人,13.61 ,13.96 ,15.50 ,13.84 ,13.90 ,14.35 
07 Game Music,Synthesis.,魔王(里),,14.15 ,14.16 ,15.23 ,13.10 ,13.57 ,14.34 
05 Variety,Calamity Fortune,魔王(里),,14.89 ,13.41 ,15.50 ,13.37 ,14.41 ,14.30 
09 Namco Original,Central Dogma Pt.1,魔王(里),,15.14 ,13.68 ,13.57 ,13.41 ,15.50 ,14.26 
09 Namco Original,トロいか2000,魔王,,14.16 ,15.50 ,14.65 ,12.08 ,11.57 ,14.24 
09 Namco Original,Xa,魔王(里),,14.20 ,14.56 ,13.92 ,9.15 ,13.19 ,14.20 
05 Variety,!!!チルノのパーフェクトさんすうタイム!!!,魔王,,13.96 ,13.66 ,15.00 ,13.24 ,14.08 ,14.19 
09 Namco Original,!!!カオスタイム!!!,魔王,,13.25 ,13.77 ,13.94 ,13.70 ,14.86 ,14.18 
09 Namco Original,???カオスタイム the DARK???,魔王,,14.08 ,13.55 ,14.20 ,14.01 ,14.06 ,14.15 
03 Vocaloid,4+1のそれぞれの未来,魔王(里),普通,13.29 ,13.69 ,15.50 ,13.78 ,13.67 ,14.14 
09 Namco Original,CUT! into the FUTURE,魔王(里),,14.80 ,13.43 ,15.15 ,11.38 ,14.37 ,14.14 
03 Vocaloid,4+1のそれぞれの未来,魔王(里),玄人,13.35 ,13.52 ,15.50 ,13.87 ,13.91 ,14.12 
09 Namco Original,Lightning Boys,魔王(里),,14.44 ,13.28 ,14.95 ,13.07 ,14.52 ,14.05 
09 Namco Original,双竜ノ乱,魔王,,14.76 ,15.50 ,14.74 ,8.98 ,11.52 ,14.05 
09 Namco Original,オペレート?ミー,魔王(里),,14.89 ,13.46 ,14.65 ,8.88 ,14.41 ,14.02 
09 Namco Original,まださいたま2000,魔王,达人,13.77 ,13.34 ,13.33 ,14.84 ,14.10 ,13.95 
09 Namco Original,刻竜 ～Kokuryu～,魔王(里),,15.15 ,12.95 ,15.11 ,10.97 ,14.48 ,13.89 
09 Namco Original,POLARiSNAUT,魔王,,13.43 ,13.42 ,14.97 ,12.16 ,13.55 ,13.82 
09 Namco Original,Nosferatu,魔王(里),,14.16 ,13.15 ,15.50 ,10.42 ,13.91 ,13.81 
09 Namco Original,Destination 2F29,魔王,,13.25 ,13.19 ,15.25 ,15.46 ,13.44 ,13.79 
09 Namco Original,RAGING FIRE,魔王(里),,14.19 ,12.94 ,14.50 ,14.49 ,12.47 ,13.72 
09 Namco Original,最果の魔法使い,魔王(里),,13.79 ,13.00 ,14.68 ,12.36 ,14.48 ,13.70 
09 Namco Original,魑魅魍魎,魔王,,14.16 ,13.03 ,14.51 ,11.93 ,13.61 ,13.69 
09 Namco Original,星屑ストラック,魔王(里),,14.41 ,12.85 ,14.86 ,12.15 ,13.48 ,13.67 
09 Namco Original,そして勇者は眠りにつく,魔王(里),,14.63 ,13.23 ,14.73 ,11.11 ,12.89 ,13.62 
09 Namco Original,仮想現実のテレスコープ,魔王(里),,14.43 ,12.64 ,11.64 ,14.16 ,15.10 ,13.56 
09 Namco Original,Challengers,魔王,,10.83 ,12.93 ,15.34 ,13.51 ,14.08 ,13.54 
09 Namco Original,とける,魔王(里),,13.47 ,12.31 ,15.01 ,14.63 ,13.52 ,13.52 
03 Vocaloid,初音ミクの消失‐劇場版‐,魔王(里),,13.96 ,12.06 ,14.50 ,14.43 ,14.92 ,13.50 
09 Namco Original,UFO Swingin',魔王,,12.75 ,13.48 ,12.99 ,11.48 ,14.01 ,13.48 
09 Namco Original,Coquette,魔王,,14.10 ,12.76 ,14.56 ,12.66 ,13.04 ,13.47 
09 Namco Original,儚姫は原初に舞う,魔王(里),,13.23 ,12.80 ,14.94 ,12.90 ,15.15 ,13.46 
07 Game Music,業 -善なる神とこの世の悪について-,魔王(里),,14.20 ,12.81 ,14.81 ,9.14 ,13.48 ,13.46 
09 Namco Original,続?〆ドレー2000,魔王,,12.91 ,13.04 ,15.50 ,12.58 ,13.03 ,13.43 
09 Namco Original,Irregular Clock,魔王(里),,14.25 ,12.68 ,12.75 ,13.90 ,14.68 ,13.41 
09 Namco Original,LΔchesis,魔王(里),,14.05 ,12.25 ,14.54 ,13.35 ,13.42 ,13.40 
09 Namco Original,コネクトカラーズ,魔王,,11.52 ,12.86 ,13.33 ,13.98 ,14.32 ,13.38 
09 Namco Original,?バチ!ムチ!?マッスルキングダム?,魔王,,12.80 ,12.71 ,14.84 ,13.05 ,13.59 ,13.29 
09 Namco Original,絡繰廻廊,魔王,,13.07 ,12.58 ,13.33 ,13.67 ,13.93 ,13.28 
09 Namco Original,森羅万象,魔王,达人,12.38 ,12.46 ,14.50 ,13.94 ,13.89 ,13.19 
09 Namco Original,パン vs ごはん！ 大決戦！,魔王(里),达人,11.80 ,12.36 ,14.89 ,14.18 ,13.59 ,13.15 
09 Namco Original,冷凍庫CJ ～嗚呼面太鼓ブラザーズ～,魔王,,13.06 ,12.41 ,14.56 ,10.72 ,14.45 ,13.12 
07 Game Music,ouroboros -twin stroke of the end-,魔王,,12.88 ,12.62 ,13.45 ,12.48 ,13.42 ,13.12 
09 Namco Original,マルトーアンフェール,魔王(里),,13.30 ,12.16 ,14.82 ,11.20 ,14.56 ,13.09 
09 Namco Original,23時54分、陽の旅路へのプレリュード,魔王,,11.77 ,12.97 ,14.50 ,12.34 ,12.83 ,13.08 
09 Namco Original,ドンカマ2000,魔王,,9.47 ,15.50 ,15.50 ,12.00 ,10.03 ,13.06 
06 Classical,カルメン 組曲一番終曲,魔王(里),,13.63 ,15.50 ,15.26 ,4.16 ,9.07 ,13.04 
09 Namco Original,まださいたま2000,魔王,普通,12.56 ,12.38 ,13.33 ,14.65 ,13.07 ,13.04 
09 Namco Original,≠MM,魔王,,14.58 ,12.66 ,11.70 ,12.03 ,13.87 ,13.02 
06 Classical,鬼走曲第24番,魔王,,13.66 ,11.52 ,14.76 ,12.72 ,15.22 ,13.02 
05 Variety,Dreadnought,魔王(里),,14.06 ,12.10 ,13.80 ,11.21 ,12.91 ,12.97 
09 Namco Original,Player's High,魔王,,12.90 ,12.28 ,12.98 ,12.52 ,14.45 ,12.96 
09 Namco Original,EterNal Ring,魔王,,13.22 ,12.01 ,14.40 ,11.97 ,14.18 ,12.93 
09 Namco Original,λ7708,魔王,,12.04 ,12.84 ,14.91 ,13.30 ,11.96 ,12.93 
09 Namco Original,デッド?オア?ダイ,魔王,,12.95 ,12.45 ,11.00 ,12.87 ,13.68 ,12.92 
09 Namco Original,"Hello, Worldooon!!",魔王(里),,11.89 ,12.99 ,11.93 ,13.44 ,14.18 ,12.91 
09 Namco Original,Planet Quester XT,魔王(里),,12.45 ,12.21 ,13.00 ,12.73 ,14.52 ,12.88 
09 Namco Original,束ね糸,魔王,,12.58 ,11.90 ,12.75 ,13.72 ,14.84 ,12.86 
09 Namco Original,χ談,魔王,,10.40 ,12.26 ,12.86 ,13.22 ,14.53 ,12.84 
09 Namco Original,Hurtling Boys,魔王,,13.35 ,12.01 ,14.06 ,11.83 ,13.20 ,12.83 
09 Namco Original,ラ?モレーナ?クモナイ,魔王(里),,11.72 ,11.74 ,14.50 ,15.50 ,14.55 ,12.82 
09 Namco Original,閃光天舞,魔王,,12.66 ,12.48 ,14.33 ,10.46 ,12.34 ,12.81 
09 Namco Original,電脳幻夜の星言詠,魔王,,12.70 ,12.00 ,14.86 ,11.08 ,13.79 ,12.80 
07 Game Music,あめふりのロンド,魔王(里),,10.59 ,14.53 ,15.33 ,10.59 ,11.79 ,12.80 
09 Namco Original,幕末維新譚,魔王,,13.84 ,11.75 ,12.41 ,12.49 ,14.96 ,12.79 
09 Namco Original,天泣の律,魔王,,12.96 ,12.19 ,14.50 ,12.01 ,12.32 ,12.78 
09 Namco Original,まるくてはやくてすさまじいリズム,魔王,,12.89 ,12.19 ,13.97 ,12.70 ,11.06 ,12.77 
09 Namco Original,ON SAY GO SAY,魔王(里),,8.56 ,12.99 ,12.17 ,11.98 ,12.90 ,12.76 
09 Namco Original,赤と白薔薇の魔女,魔王,,15.28 ,11.91 ,12.27 ,5.97 ,14.04 ,12.75 
09 Namco Original,Taiko Drum Monster,魔王(里),,12.67 ,11.13 ,13.02 ,14.75 ,14.44 ,12.74 
09 Namco Original,EXRiXiS,魔王(里),,14.14 ,11.81 ,14.50 ,11.90 ,14.64 ,12.72 
03 Vocaloid,初音ミクの消失,魔王(里),,14.78 ,11.28 ,13.63 ,7.73 ,15.39 ,12.67 
09 Namco Original,GORI × GORI × SafaRI,魔王(里),,12.33 ,11.44 ,13.26 ,15.00 ,13.95 ,12.65 
06 Classical,チャーリー ダッシュ！,魔王,,14.48 ,12.98 ,12.29 ,6.09 ,11.36 ,12.65 
09 Namco Original,for Q,魔王(里),,12.89 ,11.66 ,12.17 ,14.29 ,14.16 ,12.64 
09 Namco Original,Behemoth,魔王,,14.31 ,11.34 ,13.66 ,11.11 ,14.44 ,12.64 
09 Namco Original,万戈イム－一ノ十,魔王,达人,13.48 ,11.75 ,10.03 ,13.08 ,14.49 ,12.63 
09 Namco Original,さよならワーリャ,魔王(里),,12.64 ,11.94 ,11.02 ,12.82 ,13.92 ,12.58 
09 Namco Original,氷竜 ～Kooryu～,魔王(里),,13.89 ,11.80 ,13.11 ,6.01 ,14.21 ,12.56 
09 Namco Original,彼は誰時の誘惑,魔王(里),,12.74 ,11.88 ,14.79 ,12.55 ,11.89 ,12.56 
09 Namco Original,GIGALODOON,魔王(里),,12.76 ,12.57 ,11.04 ,11.60 ,13.96 ,12.56 
09 Namco Original,懐中庭園を持つ少女,魔王,,12.08 ,11.92 ,14.60 ,11.72 ,14.43 ,12.55 
09 Namco Original,たいこの2000,魔王,,13.48 ,12.02 ,10.18 ,12.04 ,12.73 ,12.54 
09 Namco Original,或ル不和,魔王,,13.26 ,11.75 ,14.50 ,8.78 ,12.75 ,12.54 
06 Classical,美しく忙しきドナウ,魔王(里),,13.12 ,11.74 ,14.33 ,10.20 ,12.51 ,12.53 
03 Vocaloid,カラフルボイス,魔王(里),,14.23 ,12.74 ,11.00 ,9.32 ,14.05 ,12.53 
03 Vocaloid,4+1のそれぞれの未来,魔王,,11.28 ,12.34 ,11.87 ,12.19 ,13.21 ,12.51 
09 Namco Original,ひよこ鑑定士さん,魔王,,13.07 ,11.66 ,13.85 ,11.37 ,13.31 ,12.51 
09 Namco Original,カラフル,魔王,,12.35 ,11.80 ,14.57 ,10.50 ,13.37 ,12.51 
09 Namco Original,はたラク2000,魔王,,12.93 ,11.63 ,14.74 ,10.38 ,12.92 ,12.50 
09 Namco Original,竜と黒炎の姫君,魔王(里),,12.44 ,11.48 ,14.52 ,11.19 ,14.57 ,12.50 
09 Namco Original,スーハー2000,魔王,,11.38 ,12.45 ,13.33 ,14.03 ,11.53 ,12.45 
09 Namco Original,ラパスの虹,魔王(里),,11.83 ,11.65 ,13.79 ,14.67 ,13.61 ,12.40 
07 Game Music,MEGALOVANIA,魔王(里),,12.89 ,11.46 ,13.65 ,11.24 ,13.99 ,12.40 
09 Namco Original,UNDEAD HEART(怒りのWarriors),魔王,达人,14.34 ,11.40 ,12.41 ,5.99 ,13.75 ,12.40 
09 Namco Original,気焔万丈神楽,魔王,,13.67 ,11.42 ,14.50 ,8.00 ,12.84 ,12.39 
09 Namco Original,アンリミテッドゲームズ,魔王,,8.05 ,12.17 ,14.62 ,11.89 ,12.27 ,12.38 
09 Namco Original,＊せかいをすくう、ぼくらのおはなし。,魔王,,12.43 ,11.45 ,14.50 ,10.44 ,13.43 ,12.34 
07 Game Music,GERBERA,魔王,,12.25 ,11.63 ,14.59 ,9.88 ,12.64 ,12.33 
09 Namco Original,憎悪と醜悪の花束,魔王,,10.90 ,11.44 ,14.36 ,13.47 ,13.95 ,12.32 
09 Namco Original,memoria ficta,魔王,,10.34 ,12.85 ,11.58 ,11.34 ,13.40 ,12.30 
09 Namco Original,青天の黎明,魔王,,11.96 ,11.68 ,12.91 ,12.84 ,13.01 ,12.30 
09 Namco Original,ココドコ？多分ドッカ島！,魔王(里),,11.22 ,11.57 ,13.53 ,12.43 ,13.49 ,12.30 
09 Namco Original,にゃーにゃーにゃー,魔王,,11.78 ,11.78 ,14.90 ,9.54 ,14.50 ,12.30 
09 Namco Original,わら得る2000,魔王,,11.81 ,11.91 ,14.92 ,10.01 ,12.08 ,12.30 
09 Namco Original,秘ナルメジェドノ悲ナル憂鬱,魔王,,13.00 ,11.55 ,14.60 ,5.87 ,13.59 ,12.28 
06 Classical,プチポチ,魔王,,13.19 ,11.21 ,11.18 ,12.96 ,14.22 ,12.27 
07 Game Music,Thinking ～Must Mix～,魔王(里),,12.99 ,11.59 ,11.96 ,10.28 ,13.31 ,12.26 
07 Game Music,Unwelcome School (MRM REMIX),魔王(里),,14.08 ,11.45 ,13.62 ,5.12 ,12.02 ,12.25 
09 Namco Original,Don't Stop the Game,魔王,,9.93 ,11.36 ,13.56 ,14.49 ,14.15 ,12.24 
09 Namco Original,案山子姫 -Princess Scarecrow-,魔王(里),,12.71 ,11.86 ,11.59 ,10.09 ,14.38 ,12.24 
07 Game Music,FLOWER,魔王(里),,12.45 ,11.50 ,15.06 ,6.04 ,13.01 ,12.23 
09 Namco Original,Mood Swing,魔王(里),,12.40 ,10.69 ,13.31 ,13.19 ,14.35 ,12.23 
09 Namco Original,ヘイラ,魔王(里),,12.30 ,11.72 ,11.95 ,10.93 ,13.12 ,12.23 
09 Namco Original,ヘイラ,魔王(里),,12.30 ,11.72 ,11.95 ,10.93 ,13.12 ,12.23 
09 Namco Original,YOU're our HEROES,魔王,,10.90 ,12.27 ,11.44 ,11.42 ,11.72 ,12.21 
09 Namco Original,蒼鷺之火,魔王(里),,12.94 ,10.76 ,12.23 ,12.73 ,13.96 ,12.20 
09 Namco Original,LECIEL GLISSANDO,魔王,,10.16 ,12.00 ,11.62 ,13.29 ,12.36 ,12.19 
09 Namco Original,Rotter Tarmination,魔王(里),,12.88 ,11.26 ,14.50 ,9.52 ,12.33 ,12.19 
01 Pop,夏祭り / ジッタリン?ジン,魔王(里),,11.85 ,12.77 ,13.45 ,7.36 ,11.08 ,12.18 
09 Namco Original,〆ドレー2000,魔王,,13.76 ,11.20 ,13.11 ,8.96 ,12.30 ,12.17 
09 Namco Original,〆ドレー2000+,魔王,,13.76 ,11.20 ,13.11 ,8.96 ,12.30 ,12.17 
09 Namco Original,Central Dogma Pt.2,魔王,,11.82 ,11.39 ,13.56 ,12.03 ,13.27 ,12.16 
09 Namco Original,転生〈TENSEI〉-喜与志が待つ強者-,魔王(里),,13.43 ,11.24 ,13.80 ,7.66 ,13.55 ,12.15 
09 Namco Original,共奏鼓祭,魔王(里),,11.32 ,12.23 ,14.86 ,8.72 ,11.84 ,12.14 
09 Namco Original,ピッチフェイダ,魔王(里),,8.97 ,11.43 ,12.75 ,14.45 ,13.04 ,12.14 
09 Namco Original,SUPERNOVA,魔王(里),,12.88 ,11.47 ,12.62 ,9.98 ,12.13 ,12.12 
09 Namco Original,ARMAGEΔDON,魔王,,13.55 ,11.02 ,13.59 ,10.21 ,13.00 ,12.12 
09 Namco Original,パン vs ごはん！ 大決戦！,魔王,达人,12.98 ,12.22 ,11.00 ,11.78 ,10.96 ,12.11 
03 Vocaloid,モノクロボイス,魔王,,12.58 ,11.93 ,11.36 ,9.67 ,12.82 ,12.09 
09 Namco Original,まださいたま2000,魔王,玄人,9.95 ,12.01 ,13.33 ,12.51 ,11.35 ,12.06 
09 Namco Original,Central Dogma Pt.1,魔王,,10.24 ,11.30 ,13.57 ,11.88 ,13.81 ,12.04 
09 Namco Original,頂,魔王,,12.40 ,11.26 ,14.51 ,8.41 ,12.05 ,12.04 
06 Classical,白鳥の湖 ～still a duckling～,魔王(里),,12.70 ,11.19 ,11.01 ,12.87 ,12.85 ,12.03 
09 Namco Original,星河一天,魔王,,11.55 ,11.69 ,13.44 ,8.16 ,13.18 ,11.97 
09 Namco Original,ダンバ?ダンバ?ディン?ダン,魔王(里),,11.74 ,11.65 ,11.87 ,13.83 ,6.84 ,11.97 
01 Pop,D絶対！SAMURAIインザレイン,魔王(里),,12.58 ,11.84 ,11.26 ,7.99 ,12.24 ,11.95 
05 Variety,Re：End of a Dream,魔王(里),,11.35 ,11.60 ,14.58 ,10.32 ,11.84 ,11.95 
09 Namco Original,不死鳥と成りて,魔王,,13.40 ,11.05 ,14.47 ,3.86 ,13.23 ,11.94 
09 Namco Original,Emma,魔王(里),玄人,11.22 ,11.54 ,14.83 ,9.25 ,14.40 ,11.93 
01 Pop,きゅうくらりん,魔王(里),,12.78 ,11.61 ,11.11 ,10.81 ,12.20 ,11.90 
09 Namco Original,刻竜 ～Kokuryu～,魔王,,11.53 ,11.94 ,11.00 ,10.64 ,14.51 ,11.90 
09 Namco Original,螺旋周回軌道,魔王(里),,11.20 ,10.98 ,13.55 ,14.90 ,14.30 ,11.90 
09 Namco Original,The Future of the 太鼓ドラム,魔王,,10.70 ,10.98 ,13.13 ,12.99 ,14.22 ,11.88 
09 Namco Original,8OROCHI,魔王(里),,12.06 ,11.31 ,14.51 ,5.12 ,11.79 ,11.87 
07 Game Music,Xevel,魔王,,14.10 ,10.66 ,13.01 ,6.79 ,13.42 ,11.86 
05 Variety,Aragami,魔王,,12.12 ,11.00 ,13.92 ,5.34 ,14.12 ,11.86 
09 Namco Original,アムピト?リーテー,魔王,,11.63 ,12.64 ,14.86 ,9.52 ,10.04 ,11.85 
09 Namco Original,Vixtory,魔王,,11.40 ,11.87 ,11.18 ,9.74 ,13.65 ,11.85 
09 Namco Original,めためた☆ゆにば～すっ！,魔王(里),达人,12.37 ,11.12 ,12.75 ,9.77 ,12.78 ,11.83 
05 Variety,Chronomia,魔王,,12.74 ,11.78 ,11.04 ,7.27 ,12.54 ,11.83 
09 Namco Original,メカデス。,魔王(里),,14.02 ,11.51 ,11.00 ,9.18 ,11.27 ,11.82 
07 Game Music,BLAZING VORTEX,魔王(里),,14.46 ,10.82 ,12.14 ,2.52 ,11.65 ,11.81 
05 Variety,Parousia,魔王,,10.85 ,11.83 ,10.83 ,11.84 ,12.97 ,11.76 
09 Namco Original,弧,魔王,,13.74 ,10.59 ,12.50 ,8.03 ,13.27 ,11.76 
09 Namco Original,紫煌ノ乱,魔王,,12.68 ,10.76 ,13.01 ,10.15 ,13.35 ,11.75 
05 Variety,"Help me, さいたま2000!!",魔王,,10.68 ,12.40 ,11.02 ,10.09 ,12.93 ,11.75 
09 Namco Original,UMAのフォーストレーニ千グ 【BPM150編】,魔王(里),,14.15 ,15.50 ,14.50 ,2.03 ,2.26 ,11.74 
09 Namco Original,Stick Trick ShowTime!!,魔王,,12.41 ,10.33 ,12.14 ,11.31 ,14.49 ,11.72 
09 Namco Original,ステッピン?オン?ジ?アクセル,魔王,,10.64 ,10.98 ,12.05 ,15.19 ,11.18 ,11.71 
06 Classical,其方、激昂,魔王,,11.19 ,11.28 ,13.62 ,11.14 ,12.25 ,11.71 
09 Namco Original,チキンレース,魔王(里),达人,11.48 ,12.02 ,10.71 ,7.58 ,13.84 ,11.71 
09 Namco Original,クレイジービューティー,魔王,,12.88 ,11.53 ,14.53 ,9.54 ,10.59 ,11.71 
07 Game Music,Scarlet Lance,魔王,,12.93 ,10.64 ,13.19 ,8.89 ,13.67 ,11.70 
09 Namco Original,CUT! into the FUTURE,魔王,,10.17 ,11.88 ,10.77 ,11.12 ,11.97 ,11.66 
09 Namco Original,バブル?リップ?レイヴ?マシン,魔王,,8.83 ,11.27 ,11.00 ,14.39 ,13.53 ,11.64 
09 Namco Original,What's in the box?,魔王,,9.74 ,11.39 ,14.99 ,11.44 ,10.89 ,11.63 
09 Namco Original,哀 want U,魔王,,11.45 ,11.08 ,12.23 ,11.47 ,11.57 ,11.63 
09 Namco Original,秋竜 ～Shiuryu～,魔王(里),,13.35 ,10.73 ,11.29 ,8.09 ,12.02 ,11.59 
09 Namco Original,VIVIVIVID,魔王,,11.49 ,11.02 ,12.57 ,12.28 ,9.84 ,11.57 
05 Variety,チルノのパーフェクトさんすう教室 ⑨周年バージョン,魔王(里),,12.06 ,10.44 ,15.05 ,5.69 ,12.93 ,11.56 
09 Namco Original,鼓舞曲「閻魔」,魔王,,12.25 ,10.61 ,13.03 ,8.47 ,13.79 ,11.56 
02 Anime,Feed A,魔王,,9.79 ,10.57 ,12.44 ,13.32 ,13.99 ,11.56 
09 Namco Original,トイマチック☆パレード!!,魔王,,11.04 ,11.09 ,13.22 ,9.75 ,13.85 ,11.56 
07 Game Music,Got more raves?,魔王(里),,10.71 ,10.70 ,12.52 ,12.58 ,14.99 ,11.55 
09 Namco Original,DEBSTEP!,魔王,,11.82 ,10.66 ,8.38 ,12.98 ,13.62 ,11.55 
09 Namco Original,Calculator,魔王,,10.53 ,10.69 ,14.48 ,11.70 ,11.31 ,11.55 
09 Namco Original,"Hello, Mr.JOKER",魔王,,7.55 ,11.19 ,12.65 ,13.30 ,11.20 ,11.54 
09 Namco Original,Gloria,魔王,,13.42 ,11.63 ,9.95 ,9.53 ,13.20 ,11.54 
09 Namco Original,天照,魔王,,12.58 ,10.98 ,12.52 ,5.54 ,11.65 ,11.54 
07 Game Music,THE FIXER,魔王,,11.60 ,11.06 ,9.85 ,10.74 ,14.92 ,11.52 
09 Namco Original,Purple Rose Fusion,魔王,,12.95 ,10.65 ,11.59 ,5.98 ,12.87 ,11.51 
09 Namco Original,神竜 ～Shinryu～,魔王,,11.59 ,10.37 ,14.03 ,10.30 ,12.86 ,11.47 
09 Namco Original,またさいたま2000,魔王,,10.33 ,11.94 ,11.00 ,9.60 ,12.02 ,11.45 
09 Namco Original,SoulStone -闇喰イサァカス団-,魔王,,12.70 ,11.46 ,10.14 ,8.40 ,14.19 ,11.45 
09 Namco Original,潮騒205号SSS線,魔王,,11.16 ,11.02 ,14.00 ,8.87 ,11.10 ,11.43 
01 Pop,ギミチョコ！！,魔王(里),,13.24 ,11.68 ,9.83 ,7.89 ,12.65 ,11.42 
09 Namco Original,雲間を游ぐ,魔王,,8.33 ,10.34 ,11.82 ,14.28 ,12.87 ,11.42 
05 Variety,FREEDOM DiVE↓,魔王,,11.63 ,10.55 ,9.96 ,12.64 ,12.91 ,11.42 
09 Namco Original,Ka.Ma.Se,魔王(里),,7.36 ,10.76 ,12.75 ,11.99 ,13.34 ,11.40 
09 Namco Original,六本の薔薇と采の歌,魔王(里),达人,12.22 ,11.05 ,12.10 ,9.46 ,10.76 ,11.40 
09 Namco Original,YOAKE,魔王,,11.94 ,11.04 ,12.34 ,7.58 ,10.98 ,11.39 
09 Namco Original,そつおめしき2ばん,魔王,,12.40 ,10.92 ,12.97 ,6.59 ,10.96 ,11.39 
09 Namco Original,晨星ト鵺,魔王,,10.69 ,11.67 ,10.34 ,10.56 ,11.88 ,11.39 
09 Namco Original,8OROCHI,魔王,,11.42 ,10.97 ,14.10 ,5.53 ,11.05 ,11.37 
05 Variety,Kill My Fortune,魔王(里),,11.61 ,10.85 ,12.75 ,7.99 ,11.70 ,11.37 
07 Game Music,FUJIN Rumble,魔王,,11.87 ,10.56 ,8.76 ,12.33 ,13.05 ,11.37 
09 Namco Original,疾風怒濤,魔王,,10.13 ,10.25 ,12.85 ,11.41 ,14.16 ,11.37 
07 Game Music,LUNATiC CiRCUiT,魔王,,11.81 ,10.17 ,10.97 ,12.61 ,13.57 ,11.36 
02 Anime,無敵的ハピネス！(SOS団5人Ver.),魔王(里),,12.95 ,10.69 ,13.19 ,4.27 ,11.01 ,11.35 
09 Namco Original,Illusion Flare,魔王,,11.40 ,10.40 ,12.75 ,10.84 ,13.66 ,11.34 
09 Namco Original,Goldfish City,魔王,,11.52 ,11.01 ,11.14 ,4.45 ,12.88 ,11.34 
07 Game Music,Honey Heartbeat ～10 Stars Mix～,魔王(里),,5.53 ,10.50 ,13.23 ,14.11 ,13.74 ,11.32 
07 Game Music,Honey Heartbeat ～10 Stars Mix～,魔王(里),,5.53 ,10.50 ,13.23 ,14.11 ,13.74 ,11.32 
07 Game Music,God Ray,魔王,,11.97 ,10.55 ,12.05 ,6.96 ,13.45 ,11.31 
05 Variety,郢曲／暁闇,魔王,,10.99 ,10.35 ,9.25 ,14.99 ,13.91 ,11.31 
09 Namco Original,ナイトメア?サバイバー,魔王(里),,11.22 ,10.51 ,10.56 ,13.13 ,14.20 ,11.28 
09 Namco Original,きたさいたま2000,魔王,,11.81 ,11.41 ,9.95 ,10.05 ,12.50 ,11.27 
09 Namco Original,月読命,魔王,,12.75 ,11.34 ,9.97 ,8.26 ,12.22 ,11.27 
